date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:38:27	207020/207020	------	200	untouched ('OK')	text/html	etag:%22328ac-6532e5afc3a24-gzip%22	https://illumika.com/mainpage	illumika.com/mainpage.html	(from )
19:38:27	229688/229688	------	200	untouched ('OK')	text/html	etag:%2238138-65250c3c027a4-gzip%22	https://illumika.com/projects	illumika.com/projects.html	(from )
19:38:27	214568/214568	------	200	untouched ('OK')	text/html	etag:%2234628-651c3a6b4ab1b-gzip%22	https://illumika.com/spa	illumika.com/spa.html	(from )
19:38:27	175520/175520	------	200	untouched ('OK')	text/html	etag:%222ada0-651c3aaa51bdb-gzip%22	https://illumika.com/branding	illumika.com/branding.html	(from )
19:38:27	254183/254183	------	200	untouched ('OK')	text/html	etag:%223e0e7-651c3a8c52632-gzip%22	https://illumika.com/prom	illumika.com/prom.html	(from )
19:38:27	245517/245517	------	200	untouched ('OK')	text/html	etag:%223bf0d-651c3a7108a3c-gzip%22	https://illumika.com/archpro	illumika.com/archpro.html	(from )
19:38:27	112761/112761	------	200	untouched ('OK')	text/html	etag:%221b879-6519ca314db0a-gzip%22	https://illumika.com/privacy-policy	illumika.com/privacy-policy.html	(from )
19:38:28	499/499	------	200	untouched ('OK')	text/plain	etag:%22b3e-65356c217d20e-gzip%22	https://illumika.com/robots.txt		(from )
19:38:28	479/479	------	200	untouched ('OK')	image/svg+xml	etag:W/%22ba3aaf303c807917a7c97c982d3900e6%22	https://static.tildacdn.com/tild3364-3234-4332-b733-656330633263/111123.svg	static.tildacdn.com/tild3364-3234-4332-b733-656330633263/111123.svg	(from https://illumika.com/mainpage)
19:38:28	479/479	------	200	untouched ('OK')	image/svg+xml	etag:W/%22ba3aaf303c807917a7c97c982d3900e6%22	https://static.tildacdn.com/tild3365-6265-4037-b061-656632666664/111123.svg	static.tildacdn.com/tild3365-6265-4037-b061-656632666664/111123.svg	(from https://illumika.com/mainpage)
19:38:28	1154/1154	------	200	untouched ('')	image/png	etag:%220e47d2d8d378f07e6f1be16f505f4d2c%22	https://static.tildacdn.com/tild3133-6461-4837-b434-663665316461/favicon_mobile.png	static.tildacdn.com/tild3133-6461-4837-b434-663665316461/favicon_mobile.png	(from https://illumika.com/mainpage)
19:38:28	1918/1918	------	200	untouched ('')	application/javascript	etag:W/%2269dcad5c-77e%22	https://neo.tildacdn.com/js/tilda-fallback-1.0.min.js	neo.tildacdn.com/js/tilda-fallback-1.0.min.js	(from https://illumika.com/mainpage)
19:38:28	4514/4514	------	200	untouched ('OK')	text/css	etag:W/%2263f4be99-11a2%22	https://static.tildacdn.com/css/tilda-grid-3.0.min.css	static.tildacdn.com/css/tilda-grid-3.0.min.css	(from https://illumika.com/mainpage)
19:38:28	24072/24072	------	200	untouched ('OK')	text/css	date:Mon,%2001%20Jun%202026%2010:07:00%20GMT	https://static.tildacdn.com/ws/project4928594/tilda-blocks-page142705476.min.css?t=1780308419	static.tildacdn.com/ws/project4928594/tilda-blocks-page142705476.min456f.css	(from https://illumika.com/mainpage)
19:38:28	2679/2679	------	200	untouched ('OK')	text/css	etag:W/%22687f7d39-a77%22	https://static.tildacdn.com/css/tilda-animation-2.0.min.css	static.tildacdn.com/css/tilda-animation-2.0.min.css	(from https://illumika.com/mainpage)
19:38:28	1724/1724	------	200	untouched ('OK')	text/css	etag:W/%2268cd4c34-6bc%22	https://static.tildacdn.com/css/tilda-popup-1.1.min.css	static.tildacdn.com/css/tilda-popup-1.1.min.css	(from https://illumika.com/mainpage)
19:38:28	76106/76106	------	200	untouched ('OK')	text/css	etag:W/%2269a838e8-1294a%22	https://static.tildacdn.com/css/tilda-quiz-form-1.1.min.css	static.tildacdn.com/css/tilda-quiz-form-1.1.min.css	(from https://illumika.com/mainpage)
19:38:28	43901/43901	------	200	untouched ('OK')	text/css	etag:W/%2269d373e4-ab7d%22	https://static.tildacdn.com/css/tilda-forms-1.0.min.css	static.tildacdn.com/css/tilda-forms-1.0.min.css	(from https://illumika.com/mainpage)
19:38:28	5941/5941	------	200	untouched ('OK')	text/css	etag:%221735-65034c4c71cac-gzip%22	https://illumika.com/custom.css?t=1780308419	illumika.com/custom456f.css	(from https://illumika.com/mainpage)
19:38:28	185641/185641	------	200	untouched ('')	application/javascript	etag:W/%22683585e6-2d529%22	https://static.tildacdn.com/js/tilda-polyfill-1.0.min.js	static.tildacdn.com/js/tilda-polyfill-1.0.min.js	(from https://illumika.com/mainpage)
19:38:28	93064/93064	------	200	untouched ('')	application/javascript	etag:W/%22605342c5-16b88%22	https://static.tildacdn.com/js/jquery-1.10.2.min.js	static.tildacdn.com/js/jquery-1.10.2.min.js	(from https://illumika.com/mainpage)
19:38:28	23380/23380	------	200	untouched ('')	application/javascript	etag:W/%226a281270-5b54%22	https://static.tildacdn.com/js/tilda-scripts-3.0.min.js	static.tildacdn.com/js/tilda-scripts-3.0.min.js	(from https://illumika.com/mainpage)
19:38:28	23051/23051	------	200	untouched ('')	application/javascript	date:Mon,%2001%20Jun%202026%2010:07:00%20GMT	https://static.tildacdn.com/ws/project4928594/tilda-blocks-page142705476.min.js?t=1780308419	static.tildacdn.com/ws/project4928594/tilda-blocks-page142705476.min456f.js	(from https://illumika.com/mainpage)
19:38:28	20315/20315	------	200	untouched ('')	application/javascript	etag:W/%2269fdd044-4f5b%22	https://static.tildacdn.com/js/tilda-lazyload-1.0.min.js	static.tildacdn.com/js/tilda-lazyload-1.0.min.js	(from https://illumika.com/mainpage)
19:38:28	35449/35449	------	200	untouched ('')	application/javascript	etag:W/%226925c41a-8a79%22	https://static.tildacdn.com/js/tilda-animation-2.0.min.js	static.tildacdn.com/js/tilda-animation-2.0.min.js	(from https://illumika.com/mainpage)
19:38:28	44395/44395	------	200	untouched ('')	application/javascript	etag:W/%226a140cc5-ad6b%22	https://static.tildacdn.com/js/tilda-zero-1.1.min.js	static.tildacdn.com/js/tilda-zero-1.1.min.js	(from https://illumika.com/mainpage)
19:38:28	3366/3366	------	200	untouched ('')	application/javascript	etag:W/%226925c41d-d26%22	https://static.tildacdn.com/js/tilda-popup-1.0.min.js	static.tildacdn.com/js/tilda-popup-1.0.min.js	(from https://illumika.com/mainpage)
19:38:28	5387/5387	------	200	untouched ('')	application/javascript	etag:W/%2267e105df-150b%22	https://static.tildacdn.com/js/tilda-step-manager-1.0.min.js	static.tildacdn.com/js/tilda-step-manager-1.0.min.js	(from https://illumika.com/mainpage)
19:38:28	24250/24250	------	200	untouched ('')	application/javascript	etag:W/%226965fef3-5eba%22	https://static.tildacdn.com/js/tilda-quiz-form-1.0.min.js	static.tildacdn.com/js/tilda-quiz-form-1.0.min.js	(from https://illumika.com/mainpage)
19:38:28	100892/100892	------	200	untouched ('')	application/javascript	etag:W/%226a268c62-18a1c%22	https://static.tildacdn.com/js/tilda-forms-1.0.min.js	static.tildacdn.com/js/tilda-forms-1.0.min.js	(from https://illumika.com/mainpage)
19:38:28	27885/27885	------	200	untouched ('')	application/javascript	etag:W/%2269cb7e74-6ced%22	https://static.tildacdn.com/js/tilda-animation-ext-1.0.min.js	static.tildacdn.com/js/tilda-animation-ext-1.0.min.js	(from https://illumika.com/mainpage)
19:38:28	44089/44089	------	200	untouched ('')	application/javascript	etag:W/%2269ce4504-ac39%22	https://static.tildacdn.com/js/tilda-animation-sbs-1.0.min.js	static.tildacdn.com/js/tilda-animation-sbs-1.0.min.js	(from https://illumika.com/mainpage)
19:38:28	7889/7889	------	200	untouched ('')	application/javascript	etag:W/%226a216991-1ed1%22	https://static.tildacdn.com/js/tilda-zero-scale-1.0.min.js	static.tildacdn.com/js/tilda-zero-scale-1.0.min.js	(from https://illumika.com/mainpage)
19:38:28	15165/15165	------	200	untouched ('')	application/javascript	etag:W/%226a216994-3b3d%22	https://static.tildacdn.com/js/tilda-zero-video-1.0.min.js	static.tildacdn.com/js/tilda-zero-video-1.0.min.js	(from https://illumika.com/mainpage)
19:38:28	3006/3006	------	200	untouched ('')	application/javascript	etag:W/%22649158e4-bbe%22	https://static.tildacdn.com/js/tilda-zero-fixed-1.0.min.js	static.tildacdn.com/js/tilda-zero-fixed-1.0.min.js	(from https://illumika.com/mainpage)
19:38:28	13439/13439	------	200	untouched ('')	application/javascript	etag:W/%22686fb378-347f%22	https://static.tildacdn.com/js/tilda-events-1.0.min.js	static.tildacdn.com/js/tilda-events-1.0.min.js	(from https://illumika.com/mainpage)
19:38:28	1172/1172	------	200	untouched ('OK')	text/css	etag:W/%229bd57337c183a7e6950e035e7acaa8df%22	https://cdn.illumika.com/site/css/site_css_vanta-init.v1.css	cdn.illumika.com/site/css/site_css_vanta-init.v1.css	(from https://illumika.com/mainpage)
19:38:28	454/454	------	200	untouched ('OK')	text/css	etag:%22c252326e43235e8518336677c92f71f6%22	https://cdn.illumika.com/site/css/site_css_video-fix.v1.css	cdn.illumika.com/site/css/site_css_video-fix.v1.css	(from https://illumika.com/mainpage)
19:38:28	164391/164391	---M-Z	200	added ('OK')	text/html	etag:%2228227-651c3ae0048e8-gzip%22	https://illumika.com/main	illumika.com/main.html	(from )
19:38:28	916/916	------	200	untouched ('OK')	text/css	etag:%22fdb595f55f846a0b4e66b18e66c68a97%22	https://cdn.illumika.com/site/css/site_css_words-anim.v1.css	cdn.illumika.com/site/css/site_css_words-anim.v1.css	(from https://illumika.com/mainpage)
19:38:28	708/708	------	200	untouched ('OK')	text/css	etag:%221de31ec7a59f61a13fd97e23c5c84c5b%22	https://cdn.illumika.com/site/css/site_css_headline-anim.v3.css	cdn.illumika.com/site/css/site_css_headline-anim.v3.css	(from https://illumika.com/mainpage)
19:38:28	630548/630548	------	200	untouched ('OK')	application/x-javascript	etag:W/%2284b226149187529ed00eedda3486de5c%22	https://cdn.illumika.com/site/libs/site_libs_three.min.js	cdn.illumika.com/site/libs/site_libs_three.min.js	(from https://illumika.com/mainpage)
19:38:28	12561/12561	------	200	untouched ('OK')	application/x-javascript	etag:W/%2250903c4cb17eca89cb9c5af716ca82f1%22	https://cdn.illumika.com/site/libs/site_libs_vanta.fog.min.js	cdn.illumika.com/site/libs/site_libs_vanta.fog.min.js	(from https://illumika.com/mainpage)
19:38:28	1283/1283	------	200	untouched ('OK')	application/x-javascript	etag:W/%22c6e9df511c867a730d33f02546479e8e%22	https://cdn.illumika.com/site/js/site_js_vanta-init.v1.js	cdn.illumika.com/site/js/site_js_vanta-init.v1.js	(from https://illumika.com/mainpage)
19:38:28	4302/4302	------	200	untouched ('OK')	application/x-javascript	etag:W/%22f16b0f0571a0002dc7d7b2cd63e2fa35%22	https://cdn.illumika.com/site/js/site_js_neon-button.v1.js	cdn.illumika.com/site/js/site_js_neon-button.v1.js	(from https://illumika.com/mainpage)
